,TotalOdo,ACPressure,EngineWaterTemp,ExternalTemperatureAD_Voltage,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2621,75,75,77,9594,9594,74,1,99,106,2,2,138,157,0,2,0,0,0,0,0,0,0,0,0,0,5.1922539021841
2,2621,75,75,77,9594,9594,74,1,99,106,2,2,138,157,0,2,2439,1773,848,94,95,2,1023,247,253,129,8.908896496684322
3,2621,75,75,77,9594,9594,74,1,99,106,2,2,138,157,0,2,2439,1773,848,94,95,2,1023,247,253,129,8.908896496684322
4,2621,75,75,77,9594,9594,74,1,99,106,2,2,138,157,0,2,2439,1773,848,94,95,2,1023,247,253,129,8.908896496684322
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2621,75,75,77,9508,9508,74,1,99,106,2,2,138,157,0,2,2439,1774,848,93,95,2,1023,246,255,126,8.89224617494596
7,2621,75,75,77,10717,10717,74,1,99,106,2,2,138,157,0,2,2439,1774,848,93,95,2,1023,246,255,126,8.973646612582721
8,2621,76,75,77,11262,11262,74,1,99,106,2,2,138,157,0,2,2439,1774,848,93,95,2,1023,246,255,126,9.012685987575024
9,2621,77,75,77,11293,11293,74,1,99,106,2,2,138,157,0,2,2439,1774,848,93,95,2,1023,246,255,126,9.017118394043507
10,2621,79,75,77,11295,11295,74,1,99,104,2,2,138,157,0,2,2440,1774,848,94,95,2,1023,246,255,126,9.01894287684243
11,2621,80,75,77,11310,11310,74,1,99,104,2,2,138,157,0,2,2440,1774,848,94,95,2,1023,246,255,126,9.022298023590329
12,2621,81,75,77,11312,11312,74,1,99,104,2,2,138,157,0,2,2440,1774,848,94,96,2,1023,246,255,126,9.028624050661408
13,2621,82,75,77,11315,11315,74,1,99,104,2,2,138,157,0,2,2440,1774,848,94,96,2,1023,246,255,126,9.031171252618867
14,2621,83,75,77,11315,11315,74,1,99,104,2,2,138,157,0,2,2440,1774,848,94,96,2,1023,217,255,126,8.9991969417515
15,2621,84,75,77,11319,11319,74,1,99,104,2,2,138,157,0,2,2440,1774,848,94,96,2,1023,217,255,126,9.001811472441494
16,2621,85,75,77,11333,11333,74,1,99,104,2,2,138,157,0,2,2440,1774,848,95,96,2,1023,217,255,126,9.009064397514749
17,2621,86,75,77,11322,11322,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,96,2,1023,217,255,126,9.008219217696853
18,2621,88,75,77,11325,11325,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,96,2,1023,217,255,126,9.013111635414162
19,2621,92,75,77,11336,11336,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,96,2,1023,217,255,126,9.023233114511463
20,2621,96,75,77,11345,11345,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,97,2,1023,217,255,126,9.037066089989844
21,2621,100,75,77,11350,11350,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,97,2,1023,217,255,126,9.04678359669193
22,2621,103,75,77,11343,11343,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,97,2,1023,217,255,125,9.050366428234302
23,2621,108,74,77,11335,11335,74,1,99,104,2,2,138,156,0,2,2440,1774,848,95,97,2,1023,217,255,125,9.058595297291602
